EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;COMMISSION_PCT;MANAGER_ID;DEPARTMENT_ID
100;Steven;King;SKING;5.151.234.567;1987-06-17;AD_PRES;24000;;;90
101;Neena;Kochhar;NKOCHHAR;5.151.234.568;1989-09-21;AD_VP;17000;;100;90
102;Lex;De Haan;LDEHAAN;5.151.234.569;2001-01-13;AD_VP;17000;;100;90
103;Alexander;Hunold;AHUNOLD;5.904.234.567;2006-01-03;IT_PROG;9000;;102;60
104;Bruce;Ernst;BERNST;5.904.234.568;2007-05-21;IT_PROG;6000;;103;60
105;David;Austin;DAUSTIN;5.904.234.569;2005-06-25;IT_PROG;4800;;103;60
106;Valli;Pataballa;VPATABAL;5.904.234.560;2006-02-05;IT_PROG;4800;;103;60
107;Diana;Lorentz;DLORENTZ;5.904.235.567;2007-02-07;IT_PROG;4200;;103;60
108;Nancy;Greenberg;NGREENBE;5.151.244.569;2002-08-17;FI_MGR;12008;;101;100
109;Daniel;Faviet;DFAVIET;5.151.244.169;2002-08-16;FI_ACCOUNT;9000;0.4;108;100
110;John;Chen;JCHEN;5.151.244.269;2005-09-28;FI_ACCOUNT;8200;0.3;108;100
111;Ismael;Sciarra;ISCIARRA;5.151.244.369;2005-09-30;FI_ACCOUNT;7700;0.3;108;100
112;Jose Manuel;Urman;JMURMAN;5.151.244.469;2006-03-07;FI_ACCOUNT;7800;0.3;108;100
113;Luis;Popp;LPOPP;5.151.244.567;2007-12-07;FI_ACCOUNT;6900;0.2;108;100
114;Den;Raphaely;DRAPHEAL;5.151.274.561;2002-12-07;PU_MAN;11000;0.3;100;30
115;Alexander;Khoo;AKHOO;5.151.274.562;2003-05-18;PU_CLERK;3100;0.25;114;30
116;Shelli;Baida;SBAIDA;5.151.274.563;2005-12-24;PU_CLERK;2900;0.25;114;30
117;Sigal;Tobias;STOBIAS;5.151.274.564;2005-07-24;PU_CLERK;2800;0.2;114;30
